date,average_short_interest
2016-02-16,35.626210756508044
2016-02-17,35.92387847548449
2016-02-18,35.16398125210364
2016-02-19,34.15397327614005
2016-02-22,34.12533638025422
2016-02-23,34.6893729915243
2016-02-24,34.943934655888455
2016-02-25,33.985605898093965
2016-02-26,33.830844478410846
2016-02-29,33.6234379280066
2016-03-01,34.1032750985195
2016-03-02,34.674255403331166
2016-03-03,34.96748313470919
2016-03-04,36.429033797135155
2016-03-07,37.918789994955205
2016-03-08,37.74135270941048
2016-03-09,37.02072490393154
2016-03-10,36.31513636446068
2016-03-11,36.19099722448587
2016-03-14,35.85674717236211
2016-03-15,35.71082972004868
2016-03-16,35.17711158125752
2016-03-17,35.03910294079272
2016-03-18,35.73732180896767
2016-03-21,36.6664200649682
2016-03-22,37.56453298753835
2016-03-23,37.3792478086078
2016-03-24,34.17350434542339
2016-03-28,33.2085402017917
2016-03-29,33.94122982380031
2016-03-30,33.91354041048038
2016-03-31,33.99434653591853
2016-04-01,34.281490229222634
2016-04-04,34.87938629112601
2016-04-05,34.76294833118471
2016-04-06,34.94377646930456
2016-04-07,34.542583714316116
2016-04-08,34.111874243029376
2016-04-11,34.5560607680066
2016-04-12,34.71436355356336
2016-04-13,35.795312763310555
2016-04-14,36.152969136398184
2016-04-15,35.760727947454384
2016-04-18,34.848187159492696
2016-04-19,34.276712752696604
2016-04-20,34.72667750822321
2016-04-22,32.650894798119005
2016-04-25,32.93658512924694
2016-04-26,32.767872961804336
2016-04-27,32.35005281717451
2016-04-28,32.18097296086392
2016-04-29,32.283616394914766
2016-05-02,32.58386164013894
2016-05-03,32.20605108767115
2016-05-04,31.79481721115906
2016-05-05,31.40985844416457
2016-05-06,31.05569408822244
2016-05-09,30.927779081847262
2016-05-10,31.408744070452855
2016-05-11,31.90096183732069
2016-05-12,31.639790356676333
2016-05-13,31.984212900500513
2016-05-16,32.25117932142907
2016-05-17,32.59953110735347
2016-05-18,32.952297917209286
2016-05-19,30.820428076183262
2016-05-20,29.753674744746256
2016-05-23,29.67999229454444
